"Trial","Bay","Block","Row","Range","Expt","Name","Damage_Level","Experiment_Number"
"NFNB '16","B",1,38,9,"CAIGE 1","13:ZIE14",2,6
"NFNB '16","B",1,39,9,"CAIGE 1","18:ZIE14",7,6
"NFNB '16","B",1,40,9,"CAIGE 1","19:ZIE14",4,6
"NFNB '16","B",1,41,9,"Control","Rosalind",3,6
"NFNB '16","B",1,42,9,"CAIGE 1","20:ZIE14",2,6
"NFNB '16","B",1,43,9,"CAIGE 1"," ICARDA003",2,6
"NFNB '16","B",1,44,9,"CAIGE 1"," ICARDA009",5,6
"NFNB '16","B",1,45,9,"Control","Gairdner",5,6
"NFNB '16","B",1,46,9,"CAIGE 1"," ICARDA012",7,6
"NFNB '16","B",1,47,9,"CAIGE 1"," ICARDA016",2,6
"NFNB '16","B",1,48,9,"Control","Bass",7,6
"NFNB '16","B",1,25,10,"Control","Fathom",6,6
"NFNB '16","B",1,26,10,"CAIGE 1"," ICARDA023",7,6
"NFNB '16","B",1,27,10,"CAIGE 1"," ICARDA026",3,6
"NFNB '16","B",1,28,10,"CAIGE 1"," ICARDA068",6,6
"NFNB '16","B",1,29,10,"Control","VB9613",8,6
"NFNB '16","B",1,30,10,"CAIGE 1"," ISBONLRAM-052",2,6
"NFNB '16","B",1,31,10,"CAIGE 1"," ISBONLRAM-083",5,6
"NFNB '16","B",1,32,10,"CAIGE 1"," ISBONLRAM-107",5,6
"NFNB '16","B",1,33,10,"Control","La Trobe",8,6
"NFNB '16","B",1,34,10,"CAIGE 1"," ISBYTLRAC-003",4,6
"NFNB '16","B",1,35,10,"CAIGE 1"," ISBYTLRAC-004",6,6
"NFNB '16","B",1,36,10,"CAIGE 1"," ISBYTLRAC-015",3,6
"NFNB '16","B",1,37,10,"Control","Rosalind",3,6
"NFNB '16","B",1,38,10,"CAIGE 1"," ISBYTLRAC-019-24",6,6
"NFNB '16","B",1,39,10,"CAIGE 1"," ISBYTLRAM-004",5,6
"NFNB '16","B",1,26,11,"CAIGE 2","2:ZIB14",3,6
"NFNB '16","B",1,27,11,"CAIGE 2","18:ZIB14",5,6
"NFNB '16","B",1,28,11,"CAIGE 2","19:ZIB14",6,6
"NFNB '16","B",1,29,11,"CAIGE 2","23:ZIB14",4,6
"NFNB '16","B",1,30,11,"CAIGE 2","24:ZIB14",5,6
"NFNB '16","B",1,31,11,"CAIGE 2","13:ZIC14",2,6
"NFNB '16","B",1,33,11,"CAIGE 2","18:ZIC14",2,6
"NFNB '16","B",1,34,11,"CAIGE 2","5:ZID14",2,6
"NFNB '16","B",1,35,11,"CAIGE 2","6:ZID14",2,6
"NFNB '16","B",1,36,11,"CAIGE 2","15:ZID14",7,6
"NFNB '16","B",1,37,11,"CAIGE 2","16:ZID14",2,6
"NFNB '16","B",1,38,11,"CAIGE 2","23:ZID14",8,6
"NFNB '16","B",1,40,11,"CAIGE 2","27:ZID14",2,6
"NFNB '16","B",1,41,11,"CAIGE 2","32:ZID14",2,6
"NFNB '16","B",1,42,11,"CAIGE 2","35:ZID14",2,6
"NFNB '16","B",1,43,11,"CAIGE 2","44:ZID14",3,6
"NFNB '16","B",1,44,11,"CAIGE 2","45:ZID14",2,6
"NFNB '16","B",1,45,11,"CAIGE 2","49:ZID14",2,6
"NFNB '16","B",1,46,11,"CAIGE 2","52:ZID14",3,6
"NFNB '16","B",1,47,11,"CAIGE 2","54:ZID14",6,6
"NFNB '16","B",1,25,12,"Control","Bass",9,6
"NFNB '16","B",1,26,12,"CAIGE 2","63:ZID14",3,6
"NFNB '16","B",1,27,12,"CAIGE 2","74:ZID14",5,6
"NFNB '16","B",1,28,12,"CAIGE 2","75:ZID14",5,6
"NFNB '16","B",1,29,12,"Control","VB9613",9,6
"NFNB '16","B",1,30,12,"CAIGE 2","77:ZID14",2,6
"NFNB '16","B",1,31,12,"CAIGE 2","83:ZID14",3,6
"NFNB '16","B",1,32,12,"CAIGE 2","86:ZID14",2,6
"NFNB '16","B",1,33,12,"Control","Compass",4,6
"NFNB '16","B",1,34,12,"CAIGE 2","109:ZID14",3,6
"NFNB '16","B",1,35,12,"CAIGE 2","122:ZID14",9,6
"NFNB '16","B",1,36,12,"CAIGE 2","123:ZID14",3,6
"NFNB '16","B",1,37,12,"Control","VB9613",8,6
"NFNB '16","B",1,38,12,"CAIGE 2","128:ZID14",5,6
"NFNB '16","B",1,39,12,"CAIGE 2","132:ZID14",7,6
"NFNB '16","B",1,40,12,"CAIGE 2","133:ZID14",5,6
"NFNB '16","B",1,41,12,"Control","Gairdner",5,6
"NFNB '16","B",1,42,12,"CAIGE 2","136:ZID14",7,6
"NFNB '16","B",1,43,12,"CAIGE 2","144:ZID14",5,6
"NFNB '16","B",1,44,12,"CAIGE 2","148:ZID14",3,6
"NFNB '16","B",1,45,12,"Control","La Trobe",8,6
"NFNB '16","B",1,46,12,"CAIGE 2","149:ZID14",2,6
"NFNB '16","B",1,48,12,"Control","Fathom",7,6
"NFNB '16","B",1,25,13,"Control","Fathom",6,6
"17 NFNB","A",1,21,7,"CAIGE","32:ZID14",3,10
"17 NFNB","A",1,22,7,"CAIGE","5:LAN15",3,10
"17 NFNB","A",1,23,7,"CAIGE","9:LAN15",5,10
"17 NFNB","A",1,24,7,"Control","Control",7,10
"17 NFNB","A",1,1,8,"Control","VB9613",8,10
"17 NFNB","A",1,2,8,"CAIGE","12:LAN15",2,10
"17 NFNB","A",1,3,8,"CAIGE","15:LAN15",2,10
"17 NFNB","A",1,4,8,"CAIGE","17:LAN15",1,10
"17 NFNB","A",1,5,8,"CAIGE","21:LAN15",1,10
"17 NFNB","A",1,6,8,"CAIGE","24:LAN15",1,10
"17 NFNB","A",1,7,8,"CAIGE","14:ZBS15",1,10
"17 NFNB","A",1,8,8,"CAIGE","15:ZBS15",1,10
"17 NFNB","A",1,9,8,"Control","Fathom",4,10
"17 NFNB","A",1,10,8,"CAIGE","19:ZBS15",1,10
"17 NFNB","A",1,11,8,"CAIGE","22:ZBS15",6,10
"17 NFNB","A",1,12,8,"CAIGE","35:ZBS15",1,10
"17 NFNB","A",1,13,8,"CAIGE","41:ZBS15",1,10
"17 NFNB","A",1,14,8,"CAIGE","45:ZBS15",1,10
"17 NFNB","A",1,15,8,"CAIGE","48:ZBS15",1,10
"17 NFNB","A",1,16,8,"CAIGE","49:ZBS15",6,10
"17 NFNB","A",1,17,8,"Control","VB9613",7,10
"17 NFNB","A",1,19,8,"CAIGE","52:ZBS15",1,10
"17 NFNB","A",1,20,8,"CAIGE","53:ZBS15",1,10
"17 NFNB","A",1,21,8,"CAIGE","60:ZBS15",1,10
"17 NFNB","A",1,22,8,"CAIGE","78:ZBS15",1,10
"17 NFNB","A",1,23,8,"CAIGE","81:ZBS15",1,10
"17 NFNB","A",1,24,8,"Control","VB9613",7,10
"17 NFNB","A",1,1,9,"Control","VB9613",8,10
"17 NFNB","A",1,2,9,"CAIGE","12:ZIB15",3,10
"17 NFNB","A",1,3,9,"CAIGE","2:ZIC15",1,10
"17 NFNB","A",1,4,9,"CAIGE","11:ZIC15",1,10
"17 NFNB","A",1,5,9,"CAIGE","18:ZIC15",3,10
"17 NFNB","A",1,6,9,"CAIGE","22:ZIC15",1,10
"17 NFNB","A",1,7,9,"CAIGE","5:ZBS16",1,10
"17 NFNB","A",1,8,9,"CAIGE","7:ZBS16",1,10
"17 NFNB","A",1,9,9,"Control","Bass",6,10
"17 NFNB","A",1,10,9,"CAIGE","8:ZBS16",1,10
"17 NFNB","A",1,11,9,"CAIGE","13:ZBS16",1,10
"17 NFNB","A",1,12,9,"CAIGE","16:ZBS16",1,10
"17 NFNB","A",1,13,9,"CAIGE","18:ZBS16",1,10
"17 NFNB","A",1,15,9,"CAIGE","21:ZBS16",1,10
"17 NFNB","A",1,16,9,"CAIGE","23:ZBS16",1,10
"17 NFNB","A",1,17,9,"Control","Planet",6,10
"17 NFNB","A",1,18,9,"CAIGE","31:ZBS16",3,10
"17 NFNB","A",1,19,9,"CAIGE","34:ZBS16",1,10
"17 NFNB","A",1,20,9,"CAIGE","37:ZBS16",1,10
"17 NFNB","A",1,21,9,"CAIGE","46:ZBS16",1,10
"17 NFNB","A",1,22,9,"CAIGE","56:ZBS16",1,10
"17 NFNB","A",1,23,9,"CAIGE","67:ZBS16",1,10
"17 NFNB","A",1,24,9,"Control","Rosalind",1,10
"17 NFNB","A",1,1,10,"Control","VB9613",8,10
"17 NFNB","A",1,2,10,"CAIGE","81:ZBS16",1,10
"17 NFNB","A",1,3,10,"CAIGE","85:ZBS16",1,10
"17 NFNB","A",1,4,10,"CAIGE","86:ZBS16",3,10
"17 NFNB","A",1,5,10,"CAIGE","87:ZBS16",5,10
"17 NFNB","A",1,6,10,"CAIGE","88:ZBS16",1,10
"17 NFNB","A",1,7,10,"CAIGE","89:ZBS16",1,10
"17 NFNB","A",1,8,10,"CAIGE","90:ZBS16",1,10
"17 NFNB","A",1,9,10,"Control","Bass",5,10
"17 NFNB","A",1,10,10,"CAIGE","91:ZBS16",7,10
"17 NFNB","A",1,11,10,"CAIGE","92:ZBS16",3,10
"17 NFNB","A",1,12,10,"CAIGE","93:ZBS16",1,10
"17 NFNB","A",1,13,10,"CAIGE","94:ZBS16",1,10
"17 NFNB","A",1,15,10,"CAIGE","96:ZBS16",1,10
"17 NFNB","A",1,17,10,"Control","Compass",1,10
"17 NFNB","A",1,18,10,"CAIGE","98:ZBS16",4,10
"17 NFNB","A",1,19,10,"CAIGE","99:ZBS16",1,10
"17 NFNB","A",1,20,10,"CAIGE","100:ZBS16",2,10
"17 NFNB","A",1,21,10,"CAIGE","2:ZBT16",1,10
"17 NFNB","A",1,22,10,"CAIGE","3:ZBT16",1,10
"17 NFNB","A",1,23,10,"CAIGE","4:ZBT16",1,10
"17 NFNB","A",1,24,10,"Control","Control",8,10
"17 NFNB","A",1,1,12,"Control","VB9613",8,10
"17 NFNB","A",1,2,12,"CAIGE","7:ZBT16",6,10
"17 NFNB","A",1,3,12,"CAIGE","8:ZBT16",1,10
"17 NFNB","A",1,4,12,"CAIGE","9:ZBT16",6,10
"17 NFNB","A",1,5,12,"CAIGE","11:ZBT16",6,10
"17 NFNB","A",1,6,12,"CAIGE","12:ZBT16",6,10
"17 NFNB","A",1,7,12,"CAIGE","17:ZBT16",5,10
"17 NFNB","A",1,8,12,"CAIGE","18:ZBT16",5,10
"17 NFNB","A",1,9,12,"Control","Control",8,10
"17 NFNB","A",1,10,12,"CAIGE","20:ZBT16",2,10
"17 NFNB","A",1,11,12,"CAIGE","21:ZBT16",2,10
"17 NFNB","A",1,12,12,"CAIGE","22:ZBT16",3,10
"17 NFNB","A",1,13,12,"CAIGE","24:ZBT16",2,10
"17 NFNB","A",1,14,12,"CAIGE","28:ZBT16",2,10
"17 NFNB","A",1,15,12,"CAIGE","30:ZBT16",2,10
"17 NFNB","A",1,16,12,"CAIGE","37:ZBT16",2,10
"17 NFNB","A",1,17,12,"Control","Rosalind",2,10
"17 NFNB","A",1,18,12,"CAIGE","38:ZBT16",2,10
"17 NFNB","A",1,19,12,"CAIGE","41:ZBT16",2,10
"17 NFNB","A",1,20,12,"CAIGE","44:ZBT16",2,10
"17 NFNB","A",1,21,12,"CAIGE","50:ZBT16",2,10
"17 NFNB","A",1,22,12,"CAIGE","52:ZBT16",2,10
"17 NFNB","A",1,23,12,"CAIGE","53:ZBT16",2,10
"17 NFNB","A",1,24,12,"Control","VB9613",8,10
"17 NFNB","A",1,1,13,"Control","VB9613",8,10
"17 NFNB","A",1,2,13,"CAIGE","54:ZBT16",1,10
"17 NFNB","A",1,3,13,"CAIGE","58:ZBT16",1,10
"17 NFNB","A",1,4,13,"CAIGE","59:ZBT16",2,10
"17 NFNB","A",1,5,13,"CAIGE","64:ZBT16",2,10
"17 NFNB","A",1,6,13,"CAIGE","65:ZBT16",2,10
"17 NFNB","A",1,7,13,"CAIGE","68:ZBT16",2,10
"17 NFNB","A",1,8,13,"CAIGE","70:ZBT16",6,10
"17 NFNB","A",1,9,13,"Control","Bass",5,10
"17 NFNB","A",1,11,13,"CAIGE","76:ZBT16",2,10
"17 NFNB","A",1,12,13,"CAIGE","79:ZBT16",2,10
"17 NFNB","A",1,13,13,"CAIGE","83:ZBT16",2,10
"17 NFNB","A",1,14,13,"CAIGE","87:ZBT16",2,10
"17 NFNB","A",1,15,13,"CAIGE","88:ZBT16",3,10
"17 NFNB","A",1,16,13,"CAIGE","92:ZBT16",4,10
"17 NFNB","A",1,17,13,"Control","Compass",2,10
"17 NFNB","A",1,18,13,"CAIGE","94:ZBT16",2,10
"17 NFNB","A",1,20,13,"CAIGE","98:ZBT16",7,10
"17 NFNB","A",1,21,13,"CAIGE","100:ZBT16",7,10
"17 NFNB","A",1,22,13,"CAIGE","102:ZBT16",7,10
"17 NFNB","A",1,23,13,"CAIGE","103:ZBT16",2,10
"17 NFNB","A",1,24,13,"Control","VB9613",8,10
"17 NFNB","A",1,1,14,"Control","Planet",7,10
"17 NFNB","A",1,2,14,"CAIGE","108:ZBT16",2,10
"17 NFNB","A",1,3,14,"CAIGE","110:ZBT16",6,10
"17 NFNB","A",1,5,14,"CAIGE","119:ZBT16",1,10
"17 NFNB","A",1,6,14,"CAIGE","124:ZBT16",1,10
"17 NFNB","A",1,7,14,"CAIGE","125:ZBT16",1,10
"17 NFNB","A",1,8,14,"CAIGE","126:ZBT16",1,10
"17 NFNB","A",1,9,14,"Control","VB9613",8,10
"17 NFNB","A",1,10,14,"CAIGE","129:ZBT16",1,10
"17 NFNB","A",1,11,14,"CAIGE","132:ZBT16",1,10
"17 NFNB","A",1,12,14,"CAIGE","135:ZBT16",1,10
"17 NFNB","A",1,13,14,"CAIGE","136:ZBT16",1,10
"17 NFNB","A",1,14,14,"CAIGE","142:ZBT16",3,10
"17 NFNB","A",1,15,14,"CAIGE","145:ZBT16",2,10
"17 NFNB","A",1,16,14,"CAIGE","148:ZBT16",1,10
"17 NFNB","A",1,17,14,"Control","VB9613",8,10
"17 NFNB","A",1,18,14,"CAIGE","150:ZBT16",2,10
"17 NFNB","A",1,20,14,"CAIGE","153:ZBT16",1,10
"17 NFNB","A",1,21,14,"CAIGE","155:ZBT16",1,10
"17 NFNB","A",1,22,14,"CAIGE","157:ZBT16",3,10
"17 NFNB","A",1,23,14,"CAIGE","158:ZBT16",1,10
"17 NFNB","A",1,24,14,"Control","Planet",7,10
"17 NFNB","A",1,1,15,"Control","VB9613",7,10
"17 NFNB","A",1,2,15,"CAIGE","163:ZBT16",1,10
"17 NFNB","A",1,3,15,"CAIGE","169:ZBT16",1,10
"17 NFNB","A",1,4,15,"CAIGE","175:ZBT16",1,10
"17 NFNB","A",1,5,15,"CAIGE","177:ZBT16",1,10
"17 NFNB","A",1,6,15,"CAIGE","179:ZBT16",3,10
"17 NFNB","A",1,7,15,"CAIGE","180:ZBT16",1,10
"17 NFNB","A",1,8,15,"CAIGE","182:ZBT16",1,10
"17 NFNB","A",1,9,15,"Control","VB9613",7,10
"17 NFNB","A",1,10,15,"CAIGE","183:ZBT16",1,10
"17 NFNB","A",1,11,15,"CAIGE","188:ZBT16",1,10
"17 NFNB","A",1,12,15,"CAIGE","191:ZBT16",1,10
"17 NFNB","A",1,13,15,"CAIGE","196:ZBT16",1,10
"17 NFNB","A",1,14,15,"CAIGE","208:ZBT16",1,10
"17 NFNB","A",1,15,15,"CAIGE","210:ZBT16",1,10
"17 NFNB","A",1,16,15,"CAIGE","211:ZBT16",3,10
"17 NFNB","A",1,17,15,"Control","Fathom",4,10
"17 NFNB","A",1,18,15,"CAIGE","214:ZBT16",1,10
"17 NFNB","A",1,19,15,"CAIGE","220:ZBT16",1,10
"17 NFNB","A",1,20,15,"CAIGE","221:ZBT16",1,10
"17 NFNB","A",1,21,15,"CAIGE","223:ZBT16",5,10
"17 NFNB","A",1,22,15,"CAIGE","226:ZBT16",1,10
"17 NFNB","A",1,23,15,"CAIGE","229:ZBT16",2,10
"17 NFNB","A",1,24,15,"Control","Bass",6,10
"17 NFNB","A",1,1,16,"Control","Fathom",4,10
"17 NFNB","A",1,2,16,"CAIGE","231:ZBT16",2,10
"17 NFNB","A",1,3,16,"CAIGE","1:ZIB16",2,10
"17 NFNB","A",1,4,16,"CAIGE","2:ZIB16",2,10
"17 NFNB","A",1,5,16,"CAIGE","3:ZIB16",2,10
"17 NFNB","A",1,6,16,"CAIGE","5:ZIB16",2,10
"17 NFNB","A",1,7,16,"CAIGE","6:ZIB16",2,10
"17 NFNB","A",1,8,16,"CAIGE","7:ZIB16",2,10
"17 NFNB","A",1,9,16,"Control","VB9613",8,10
"17 NFNB","A",1,10,16,"CAIGE","8:ZIB16",2,10
"17 NFNB","A",1,11,16,"CAIGE","9:ZIB16",2,10
"17 NFNB","A",1,12,16,"CAIGE","10:ZIB16",2,10
"17 NFNB","A",1,13,16,"CAIGE","12:ZIB16",2,10
"17 NFNB","A",1,14,16,"CAIGE","13:ZIB16",2,10
"17 NFNB","A",1,15,16,"CAIGE","14:ZIB16",2,10
"17 NFNB","A",1,16,16,"CAIGE","15:ZIB16",2,10
"17 NFNB","A",1,17,16,"Control","Control",7,10
"17 NFNB","A",1,18,16,"CAIGE","16:ZIB16",3,10
"17 NFNB","A",1,19,16,"CAIGE","17:ZIB16",2,10
"17 NFNB","A",1,20,16,"CAIGE","18:ZIB16",2,10
"17 NFNB","A",1,21,16,"CAIGE","19:ZIB16",1,10
"17 NFNB","A",1,22,16,"CAIGE","20:ZIB16",1,10
"17 NFNB","A",1,23,16,"CAIGE","1:ZIC16",1,10
"17 NFNB","A",1,24,16,"Control","Control",7,10
"17 NFNB","A",1,1,17,"Control","Control",7,10
"17 NFNB","A",1,2,17,"CAIGE","2:ZIC16",2,10
"17 NFNB","A",1,3,17,"CAIGE","3:ZIC16",3,10
"17 NFNB","A",1,4,17,"CAIGE","4:ZIC16",1,10
"17 NFNB","A",1,5,17,"CAIGE","5:ZIC16",1,10
"17 NFNB","A",1,6,17,"CAIGE","6:ZIC16",1,10
"17 NFNB","A",1,7,17,"CAIGE","7:ZIC16",1,10
"17 NFNB","A",1,8,17,"CAIGE","8:ZIC16",2,10
"17 NFNB","A",1,9,17,"Control","Planet",7,10
"17 NFNB","A",1,10,17,"CAIGE","9:ZIC16",1,10
"17 NFNB","A",1,11,17,"CAIGE","10:ZIC16",1,10
"17 NFNB","A",1,12,17,"CAIGE","11:ZIC16",1,10
"17 NFNB","A",1,13,17,"CAIGE","12:ZIC16",1,10
"17 NFNB","A",1,14,17,"CAIGE","13:ZIC16",1,10
"17 NFNB","A",1,15,17,"CAIGE","15:ZIC16",1,10
"17 NFNB","A",1,16,17,"CAIGE","16:ZIC16",1,10
"17 NFNB","A",1,17,17,"Control","VB9613",7,10
"17 NFNB","A",1,18,17,"CAIGE","17:ZIC16",1,10
"17 NFNB","A",1,19,17,"CAIGE","21:ZIC16",1,10
"17 NFNB","A",1,20,17,"CAIGE","22:ZIC16",1,10
"17 NFNB","A",1,21,17,"CAIGE","1:LAN16",1,10
"17 NFNB","A",1,22,17,"CAIGE","2:LAN16",1,10
"17 NFNB","A",1,23,17,"CAIGE","3:LAN16",1,10
"17 NFNB","A",1,24,17,"Control","Rosalind",2,10
"17 NFNB","A",1,1,18,"Control","Compass",3,10
"17 NFNB","A",1,2,18,"CAIGE","4:LAN16",2,10
"17 NFNB","A",1,3,18,"CAIGE","5:LAN16",2,10
"17 NFNB","A",1,4,18,"CAIGE","6:LAN16",2,10
"17 NFNB","A",1,6,18,"CAIGE","8:LAN16",3,10
"17 NFNB","A",1,7,18,"CAIGE","9:LAN16",2,10
"17 NFNB","A",1,8,18,"CAIGE","10:LAN16",2,10
"17 NFNB","A",1,9,18,"Control","VB9613",7,10
"17 NFNB","A",1,10,18,"CAIGE","11:LAN16",2,10
"17 NFNB","A",1,11,18,"CAIGE","12:LAN16",2,10
"17 NFNB","A",1,12,18,"CAIGE","13:LAN16",1,10
"17 NFNB","A",1,13,18,"CAIGE","14:LAN16",1,10
"17 NFNB","A",1,14,18,"CAIGE","15:LAN16",1,10
"17 NFNB","A",1,15,18,"CAIGE","16:LAN16",1,10
"17 NFNB","A",1,16,18,"CAIGE","17:LAN16",1,10
"17 NFNB","A",1,17,18,"Control","Control",8,10
"17 NFNB","A",1,18,18,"CAIGE","18:LAN16",1,10
"17 NFNB","A",1,19,18,"CAIGE","19:LAN16",1,10
"17 NFNB","A",1,20,18,"CAIGE","20:LAN16",1,10
"17 NFNB","A",1,21,18,"CAIGE","21:LAN16",1,10
"17 NFNB","A",1,22,18,"CAIGE","22:LAN16",1,10
"17 NFNB","A",1,23,18,"CAIGE","23:LAN16",1,10
"17 NFNB","A",1,24,18,"Control","Control",7,10
"17 NFNB","A",1,1,19,"Control","VB9613",8,10
"17 NFNB","A",1,2,19,"CAIGE","24:LAN16",1,10
"17 NFNB","A",1,3,19,"CAIGE","25:LAN16",1,10
"17 NFNB","A",1,4,19,"CAIGE","26:LAN16",1,10
"17 NFNB","A",1,5,19,"CAIGE","27:LAN16",1,10
"17 NFNB","A",1,6,19,"CAIGE","28:LAN16",5,10
"17 NFNB","A",1,7,19,"CAIGE","29:LAN16",1,10
"17 NFNB","A",1,8,19,"CAIGE","30:LAN16",1,10
"17 NFNB","A",1,9,19,"Control","Compass",4,10
"17 NFNB","A",1,10,19,"CAIGE","31:LAN16",1,10
"17 NFNB","A",1,11,19,"CAIGE","32:LAN16",1,10
"17 NFNB","A",1,12,19,"CAIGE","33:LAN16",1,10
"17 NFNB","A",1,13,19,"CAIGE","34:LAN16",1,10
"17 NFNB","A",1,14,19,"CAIGE","35:LAN16",1,10
"17 NFNB","A",1,15,19,"CAIGE","36:LAN16",5,10
"17 NFNB","A",1,16,19,"CAIGE","37:LAN16",1,10
"17 NFNB","A",1,17,19,"Control","Bass",5,10
"17 NFNB","A",1,18,19,"CAIGE","38:LAN16",1,10
"17 NFNB","A",1,19,19,"CAIGE","39:LAN16",1,10
"17 NFNB","A",1,21,19,"CAIGE","41:LAN16",1,10
"17 NFNB","A",1,22,19,"CAIGE","42:LAN16",1,10
"17 NFNB","A",1,23,19,"CAIGE","43:LAN16",1,10
"17 NFNB","A",1,24,19,"Control","Rosalind",2,10
